Description,,Summary Amt.
Beginning balance as of 01/01/2022,,"1,726.31"
Total credits,,"19,979.76"
Total debits,,"-20,298.71"
Ending balance as of 12/31/2022,,"1,407.36"

Date,Description,Amount,Running Bal.
09/21/2022,"Zelle Transfer Conf# ent66mv59; Vincent","-16.20","5,515.88"
09/26/2022,"AMZN MKTP US*1U3943QJ1 09/22 PURCHASE AMZN.COM/BILL WA","-28.10","5,487.78"
09/26/2022,"TM *CARLY RAE JEPSEN-F 09/24 PURCHASE 800-653-8000 CA","-77.25","5,410.53"
09/26/2022,"SHENG KEE BAKERY 09/24 PURCHASE BERKELEY CA","-39.95","5,370.58"
09/28/2022,"AMAZON.COM*1U7ZL3SJ2 AM 09/27 PURCHASE AMZN.COM/BILL WA","-385.82","4,984.76"
09/30/2022,"UNIVERSITY VAL 09/30 PURCHASE BERKELEY CA","-57.94","4,926.82"
10/03/2022,"GIG CAR SHARE 10/01 REFUND HTTPSWWW.GIGC CA","25.57","4,952.39"
10/03/2022,"GIG CAR SHARE 10/01 REFUND HTTPSWWW.GIGC CA","25.57","4,977.96"
10/03/2022,"McDonald's 4372 09/30 PURCHASE BERKELEY CA","-5.72","4,972.24"
10/03/2022,"GIG CAR SHARE 09/30 PURCHASE HTTPSWWW.GIGC CA","-189.72","4,782.52"
10/11/2022,"PAPA JOHN'S #3820 10/06 PURCHASE 510-432-2678 CA","-38.83","4,743.69"
10/11/2022,"Zelle Transfer Conf# gcpcst3ez; Angelique Zoilie","-48.43","4,695.26"
10/11/2022,"Zelle Transfer Conf# ebhrouse3; Vincent","-74.38","4,620.88"
10/12/2022,"Zelle Transfer Conf# io0b2bkbk; Lam Tran","-13.00","4,607.88"
10/13/2022,"Zelle Transfer Conf# ld3vpvehw; VO, TRANGTHY","18.00","4,625.88"
10/17/2022,"Zelle Transfer Conf# T0QRFLZ85; KENNETH NGUYEN","15.00","4,640.88"
10/20/2022,"GADANI CAFE 10/19 MOBILE PURCHASE XXX-XX368535 CA","-9.14","4,631.74"
10/21/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-604.48","4,027.26"
10/24/2022,"BKOFAMERICA MOBILE 10/24 XXXXX87490 DEPOSIT *MOBILE CA","189.72","4,216.98"
10/24/2022,"Zelle Transfer Conf# bcg638mps; Quang Vo","-11.55","4,205.43"
10/24/2022,"Zelle Transfer Conf# qohs0twx6; Quang Vo","-15.00","4,190.43"
10/26/2022,"AMZN MKTP US*H04GI0OY1 10/24 PURCHASE AMZN.COM/BILL WA","-147.47","4,042.96"
10/26/2022,"AMZN MKTP US*H820L01G2 10/25 PURCHASE AMZN.COM/BILL WA","-23.14","4,019.82"
10/27/2022,"AMAZON.COM*H80BY6BW2 AM 10/25 PURCHASE AMZN.COM/BILL WA","-16.53","4,003.29"
10/31/2022,"AMAZON.COM*H88YT8W82 AM 10/29 PURCHASE AMZN.COM/BILL WA","-8.58","3,994.71"
10/31/2022,"COSTCO WHSE #0 10/29 PURCHASE SAN JOSE CA","-67.50","3,927.21"
10/31/2022,"COSTCO WHSE #0 10/29 PURCHASE SAN JOSE CA","-17.49","3,909.72"
10/31/2022,"Zelle Transfer Conf# bm6uumap4; Angelique Zoilie","-5.50","3,904.22"
10/31/2022,"Zelle Transfer Conf# gtyr4wjv5; Quang Vo","-32.80","3,871.42"
11/01/2022,"Zelle Transfer Conf# hh3uuzk9n; VO, TRANGTHY","15.00","3,886.42"
11/01/2022,"Zelle Transfer Conf# bvkt8uu4c; VO, TRANGTHY","13.00","3,899.42"
11/03/2022,"Zelle Transfer Conf# n6wh65333; Vincent","-14.20","3,885.22"
11/07/2022,"Zelle Transfer Conf# mtac7ytx4; Vincent","-11.20","3,874.02"
11/14/2022,"Zelle Transfer Conf# T0QT3T5Z5; KENNETH NGUYEN","14.00","3,888.02"
11/15/2022,"Zelle Transfer Conf# g04o79nbp; DO, VINCENT","19.71","3,907.73"
11/15/2022,"Zelle Transfer Conf# 999ijrcbs; QUANG H VO","19.71","3,927.44"
11/15/2022,"Zelle Transfer Conf# gk9kn0982; Quang Vo","-15.71","3,911.73"
11/15/2022,"Zelle Transfer Conf# fyeetshw9; Lam Tran","-30.00","3,881.73"
11/21/2022,"Zelle Transfer Conf# 999iqlyrl; QUANG H VO","4.00","3,885.73"
11/22/2022,"UC Berkeley DES:DIRECT PAY ID:XXXXX32484 INDN:0000Nguyen,Khanh CO ID:XXXXX02123 PPD","249.00","4,134.73"
11/22/2022,"AMZN MKTP US*HW8FK8JC0 11/21 PURCHASE AMZN.COM/BILL WA","-98.09","4,036.64"
11/23/2022,"AMZN MKTP US AMZN.COM/B 11/22 REFUND AMZN.COM/BILL WA","71.20","4,107.84"
11/23/2022,"AMZN MKTP US AMZN.COM/B 11/23 REFUND AMZN.COM/BILL WA","38.58","4,146.42"
11/23/2022,"AMZN MKTP US AMZN.COM/B 11/23 REFUND AMZN.COM/BILL WA","37.69","4,184.11"
11/23/2022,"AMZN MKTP US AMZN.COM/B 11/22 REFUND AMZN.COM/BILL WA","13.15","4,197.26"
11/23/2022,"AMZN MKTP US*HI6509K32 11/21 PURCHASE AMZN.COM/BILL WA","-18.63","4,178.63"
11/23/2022,"AMAZON.COM*HI12A47X2 AM 11/22 PURCHASE AMZN.COM/BILL WA","-16.13","4,162.50"
11/23/2022,"COSTCO WHSE #0 11/23 PURCHASE SAN DIEGO CA","-54.51","4,107.99"
11/25/2022,"THE HOME DEPOT 11/25 PURCHASE SAN DIEGO CA","-8.97","4,099.02"
11/25/2022,"CHEVRON/MISSIO 11/25 PURCHASE SAN DIEGO CA","-3.98","4,095.04"
11/28/2022,"Zelle Transfer Conf# 999izf931; TONY TRAN NGUYEN","14.00","4,109.04"
11/28/2022,"Zelle Transfer Conf# 999izfz43; JACKIE LE","11.59","4,120.63"
11/28/2022,"REGAL PARKWAY 18 0388 11/25 PURCHASE EL CAJON CA","-40.00","4,080.63"
11/28/2022,"REGAL PARKWAY 18 0388 11/25 PURCHASE EL CAJON CA","-23.77","4,056.86"
11/28/2022,"ARCO #42009 AM 11/26 PURCHASE SAN DIEGO CA","-76.99","3,979.87"
11/28/2022,"RAISING CANE'S #282 11/26 PURCHASE SANTEE CA","-58.78","3,921.09"
11/28/2022,"HOBBYLOBB 8181 11/26 PURCHASE SAN DIEGO CA","-159.32","3,761.77"
11/28/2022,"ROYAL MANDARIN 11/26 PURCHASE NATIONAL CITY CA","-52.20","3,709.57"
11/28/2022,"DABOBA 11/26 PURCHASE SAN DIEGO CA","-8.08","3,701.49"
11/28/2022,"RAISING CANE'S 492 11/27 PURCHASE SAN DIEGO CA","-34.44","3,667.05"
11/28/2022,"Zelle Transfer Conf# hms5scypt; Tan Nguyen","-13.50","3,653.55"
11/28/2022,"SQ *MAIN CHICK HOT CHIC 11/27 PURCHASE SAN DIEGO CA","-15.40","3,638.15"
11/28/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-1,018.07","2,620.08"
11/29/2022,"Zelle Transfer Conf# 999j1qeud; THINH D VO","17.00","2,637.08"
11/29/2022,"AMC 0444 FASHION VALLE 11/27 PURCHASE SAN DIEGO CA","-7.53","2,629.55"
11/30/2022,"TOUS LES JOURS 11/28 PURCHASE SAN DIEGO CA","-36.00","2,593.55"
11/30/2022,"GIG CAR SHARE 11/29 PURCHASE HTTPSWWW.GIGC CA","-14.75","2,578.80"
12/01/2022,"Zelle Transfer Conf# 999j4jvny; QUANG H VO","23.43","2,602.23"
12/02/2022,"AMZN MKTP US*9U2CV3YT3 12/01 PURCHASE AMZN.COM/BILL WA","-48.51","2,553.72"
12/02/2022,"Zelle Transfer Conf# bdu4dw72l; Angelique Zoilie","-26.26","2,527.46"
12/05/2022,"AMAZON.COM*W80BM2UR3 AM 12/02 PURCHASE AMZN.COM/BILL WA","-77.18","2,450.28"
12/05/2022,"AMZN MKTP US*EF9PO2SR3 12/02 PURCHASE AMZN.COM/BILL WA","-111.51","2,338.77"
12/05/2022,"SQ *ACHILLES 12/03 PURCHASE Santa Clara CA","-15.84","2,322.93"
12/05/2022,"AMAZON.COM*508MJ0OZ3 AM 12/03 PURCHASE AMZN.COM/BILL WA","-13.78","2,309.15"
12/05/2022,"Zelle Transfer Conf# q2ncli11r; Quang Vo","-50.50","2,258.65"
12/06/2022,"Zelle Transfer Conf# 999jco6hd; QUANG H VO","15.00","2,273.65"
12/06/2022,"Zelle Transfer Conf# T0QVNMXND; KELLY AN","14.00","2,287.65"
12/07/2022,"AMAZON.COM*1H9U787L3 AM 12/05 PURCHASE AMZN.COM/BILL WA","-22.04","2,265.61"
12/07/2022,"TEMPEST 12/05 PURCHASE SAN FRANCISCO CA","-56.05","2,209.56"
12/07/2022,"AMAZON.COM*9I78O1OR3 AM 12/06 PURCHASE AMZN.COM/BILL WA","-36.20","2,173.36"
12/08/2022,"IMM THAI STREET FOOD 12/06 PURCHASE 510-898-1123 CA","-18.99","2,154.37"
12/09/2022,"AMZN MKTP US AMZN.COM/B 12/08 REFUND AMZN.COM/BILL WA","13.78","2,168.15"
12/09/2022,"UNIV CALIFORNIA BERKEL 12/07 PURCHASE XXX-XX98131 CT","-0.28","2,167.87"
12/09/2022,"UNIV CALIFORNIA BERKEL 12/07 PURCHASE XXX-XX98131 CT","-10.00","2,157.87"
12/09/2022,"MAN WA LAM 12/08 PURCHASE BERKELEY CA","-38.00","2,119.87"
12/09/2022,"SP JINS EYEWEAR 12/08 PURCHASE US.JINS.COM CA","-105.00","2,014.87"
12/09/2022,"Zelle Transfer Conf# fprqklzgp; Angelique Zoilie","-10.89","2,003.98"
12/09/2022,"Zelle Transfer Conf# asdbxdp7n; Angelique Zoilie","-10.32","1,993.66"
12/12/2022,"Zelle Transfer Conf# j0913puaa; DO, VINCENT","11.41","2,005.07"
12/12/2022,"Zelle Transfer Conf# 999jjmx2o; QUANG H VO","6.41","2,011.48"
12/12/2022,"IMM THAI STREET FOOD 12/09 PURCHASE 510-898-1123 CA","-16.79","1,994.69"
12/12/2022,"Zelle Transfer Conf# mx03o2777; Vincent","-7.85","1,986.84"
12/12/2022,"Zelle Transfer Conf# j77la5a9o; Vincent","-32.49","1,954.35"
12/13/2022,"Zelle Transfer Conf# b5nus7gz6; VO, TRANGTHY","13.00","1,967.35"
12/13/2022,"TOSS NOODLE BAR 12/11 PURCHASE XXX-XX58677 CA","-49.61","1,917.74"
12/13/2022,"SNACK* LITTLE GEM BELG 12/12 MOBILE PURCHASE XXX-XX845156 CA","-11.48","1,906.26"
12/13/2022,"Zelle Transfer Conf# by029tmzy; Lam Tran","-11.50","1,894.76"
12/14/2022,"APPLE.COM/US 12/11 PURCHASE 800-676-2775 CA","-8.81","1,885.95"
12/14/2022,"AMZN MKTP US*IX9XN8OR3 12/13 PURCHASE AMZN.COM/BILL WA","-13.22","1,872.73"
12/14/2022,"SQ *LA PARRILLADA FELIZ 12/13 PURCHASE Pittsburg CA","-9.00","1,863.73"
12/15/2022,"Zelle Transfer Conf# cb8id2ngs; NGUYEN, MY","1,000.00","2,863.73"
12/15/2022,"Zelle Transfer Conf# hkhn22uyq; Lam Tran","-14.00","2,849.73"
12/19/2022,"Zelle Transfer Conf# 999jrr11t; THINH D VO","11.50","2,861.23"
12/19/2022,"Zelle Transfer Conf# ajhpr26b0; NGUYEN, JASON","11.50","2,872.73"
12/19/2022,"TST* Tay Ho - Oakland A 12/15 PURCHASE Oakland CA","-18.71","2,854.02"
12/19/2022,"CP* ULTRASTAR MOVIETIX 12/16 PURCHASE CINEMAPLUS.CO NV","-34.50","2,819.52"
12/19/2022,"AMZN MKTP US*2E3U51O93 12/16 PURCHASE AMZN.COM/BILL WA","-38.78","2,780.74"
12/19/2022,"DABOBA 12/16 PURCHASE SAN DIEGO CA","-6.20","2,774.54"
12/19/2022,"AMZN MKTP US*2R0DV9JH3 12/17 PURCHASE AMZN.COM/BILL WA","-66.37","2,708.17"
12/21/2022,"Zelle Transfer Conf# gk5dbz91e; DO, VINCENT","10.00","2,718.17"
12/22/2022,"Zelle Transfer Conf# gfwgj794o; DO, VINCENT","110.62","2,828.79"
12/22/2022,"Zelle Transfer Conf# T0QWPWBLW; LAM TRAN","108.00","2,936.79"
12/22/2022,"AMZN MKTP US*719JW1VC3 12/16 PURCHASE AMZN.COM/BILL WA","-32.31","2,904.48"
12/22/2022,"THE ESCAPE GAME IRVINE 12/20 PURCHASE 949-560-1895 CA","-300.93","2,603.55"
12/22/2022,"HES NOODLE ZONE (IRVIN 12/20 MOBILE PURCHASE XXX-XX479155 IL","-35.58","2,567.97"
12/22/2022,"JACK IN THE BOX 3069 12/21 PURCHASE SAN DIEGO CA","-15.61","2,552.36"
12/22/2022,"DIAMOND PARKING 12/21 PURCHASE SEATTLE WA","-7.70","2,544.66"
12/22/2022,"Spin Mobility 12/21 PURCHASE XXX-XX25189 CA","-2.11","2,542.55"
12/22/2022,"Zelle Transfer Conf# cc0d6z1ju; Kelly An","-26.40","2,516.15"
12/22/2022,"36 - SEPHORA 7 12/22 PURCHASE SAN DIEGO CA","-47.41","2,468.74"
12/23/2022,"Zelle Transfer Conf# 999jzxj9x; QUANG H VO","94.61","2,563.35"
12/23/2022,"FATBOYS DELI & SPIRITS 12/21 PURCHASE XXX-XX33902 CA","-3.81","2,559.54"
12/23/2022,"SQ *MAIN CHICK HOT CHIC 12/22 PURCHASE SAN DIEGO CA","-16.47","2,543.07"
12/23/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-933.37","1,609.70"
12/27/2022,"Zelle Transfer Conf# e2secx0bi; NGUYEN, WILLIAM","116.02","1,725.72"
12/27/2022,"Zelle Transfer Conf# T0QWVFGQS; KELLY AN","100.00","1,825.72"
12/27/2022,"Zelle Transfer Conf# ao2tzyt25; NGUYEN, JASON","28.42","1,854.14"
12/27/2022,"Zelle Transfer Conf# 999k50eu2; THINH D VO","28.42","1,882.56"
12/27/2022,"A&F / HCO 12/22 PURCHASE OHIO OH","-140.06","1,742.50"
12/27/2022,"WETZEL'S PRETZELS #0078 12/23 PURCHASE SAN DIEGO CA","-9.14","1,733.36"
12/27/2022,"LEGO, Fashion Valley 12/24 PURCHASE San Diego CA","-121.05","1,612.31"
12/27/2022,"DENNY'S #7680 12/25 PURCHASE SAN DIEGO CA","-66.43","1,545.88"
12/27/2022,"ENIGMA PROFESSIONAL PI 12/26 PURCHASE SHOPENIGMA.CO CA","-20.00","1,525.88"
12/27/2022,"Zelle Transfer Conf# dn8uqe6pn; Tan Nguyen","-36.00","1,489.88"
12/27/2022,"Zelle Transfer Conf# ak9mjfuyb; JASON NGUYEN","-23.77","1,466.11"
12/27/2022,"ENIGMA PROFESSIONAL PI 12/26 PURCHASE SHOPENIGMA.CO CA","-20.00","1,446.11"
12/28/2022,"WEB GROSSMONT CINEMA 12/26 PURCHASE 888-668-4605 CA","-11.89","1,434.22"
12/28/2022,"Zelle Transfer Conf# f68dbnvbn; UYEN TRINH PHUNG","-16.10","1,418.12"
12/28/2022,"TARGET T- 5680 12/28 PURCHASE San Diego CA","-10.76","1,407.36"
